Filename,LabelId,Label,xmin,ymin,xmax,ymax
0011.jpg,1,Hand,647,453,824,551
0011.jpg,1,Hand,515,431,622,543
0036.jpg,1,Hand,697,478,856,564
0036.jpg,1,Hand,432,460,554,712
0099.jpg,1,Hand,790,619,961,718
0099.jpg,1,Hand,730,406,911,520
0099.jpg,1,Hand,591,375,717,495
0113.jpg,1,Hand,653,423,824,526
0113.jpg,1,Hand,526,395,645,511
0176.jpg,1,Hand,610,432,783,541
0176.jpg,1,Hand,439,387,600,519
0183.jpg,1,Hand,587,444,778,555
0183.jpg,1,Hand,445,394,589,540
0184.jpg,1,Hand,616,444,800,564
0184.jpg,1,Hand,457,394,613,544
0187.jpg,1,Hand,656,460,845,568
0187.jpg,1,Hand,517,387,660,530
0189.jpg,1,Hand,649,453,836,555
0189.jpg,1,Hand,510,384,655,522
0206.jpg,1,Hand,639,439,824,547
0206.jpg,1,Hand,477,362,596,487
0229.jpg,1,Hand,649,437,829,530
0229.jpg,1,Hand,519,394,635,518
0241.jpg,1,Hand,666,402,856,511
0241.jpg,1,Hand,546,383,667,511
0295.jpg,1,Hand,645,417,821,522
0295.jpg,1,Hand,513,384,631,511
0316.jpg,1,Hand,575,681,711,718
0316.jpg,1,Hand,658,429,832,527
0316.jpg,1,Hand,484,370,612,497
0324.jpg,1,Hand,486,631,646,718
0324.jpg,1,Hand,664,456,832,555
0324.jpg,1,Hand,482,387,614,523
0333.jpg,1,Hand,672,460,852,572
0333.jpg,1,Hand,517,387,664,524
0381.jpg,1,Hand,647,428,825,535
0381.jpg,1,Hand,510,378,627,502
0384.jpg,1,Hand,645,429,817,532
0384.jpg,1,Hand,503,371,638,507
0484.jpg,1,Hand,651,681,817,718
0484.jpg,1,Hand,631,355,817,452
0484.jpg,1,Hand,510,311,629,431
0580.jpg,1,Hand,627,363,796,479
0580.jpg,1,Hand,461,407,594,665
0611.jpg,1,Hand,642,353,832,457
0611.jpg,1,Hand,506,318,643,448
0647.jpg,1,Hand,587,380,763,482
0647.jpg,1,Hand,437,336,584,465
0649.jpg,1,Hand,575,386,746,487
0649.jpg,1,Hand,420,341,571,468
0752.jpg,1,Hand,622,363,792,475
0752.jpg,1,Hand,497,336,625,454
0781.jpg,1,Hand,612,390,782,497
0781.jpg,1,Hand,449,320,598,446
0815.jpg,1,Hand,600,392,767,506
0815.jpg,1,Hand,441,329,593,465
0831.jpg,1,Hand,625,379,791,491
0831.jpg,1,Hand,489,346,614,461
0906.jpg,1,Hand,605,399,769,507
0906.jpg,1,Hand,455,366,598,485
0912.jpg,1,Hand,616,399,750,503
0912.jpg,1,Hand,441,346,616,475
0941.jpg,1,Hand,583,404,765,516
0941.jpg,1,Hand,451,371,602,475
0954.jpg,1,Hand,568,654,815,718
0954.jpg,1,Hand,643,403,824,512
0954.jpg,1,Hand,513,375,671,487
0988.jpg,1,Hand,598,382,754,497
0988.jpg,1,Hand,468,371,613,474
1009.jpg,1,Hand,608,370,746,493
1009.jpg,1,Hand,391,367,517,502
1024.jpg,1,Hand,600,355,728,489
1024.jpg,1,Hand,457,324,620,450
1051.jpg,1,Hand,759,560,989,718
1051.jpg,1,Hand,697,345,839,479
1051.jpg,1,Hand,559,349,721,448
1087.jpg,1,Hand,592,376,766,507
1087.jpg,1,Hand,441,371,568,493
1106.jpg,1,Hand,676,409,794,548
1106.jpg,1,Hand,406,413,540,574
1133.jpg,1,Hand,630,470,777,594
1133.jpg,1,Hand,449,446,612,574
1164.jpg,1,Hand,645,436,779,573
1164.jpg,1,Hand,447,386,637,530
1196.jpg,1,Hand,651,407,784,547
1196.jpg,1,Hand,423,395,588,564
1232.jpg,1,Hand,695,441,812,615
1232.jpg,1,Hand,389,424,550,576
1262.jpg,1,Hand,729,689,775,717
1262.jpg,1,Hand,658,470,804,630
1262.jpg,1,Hand,298,452,433,605
1279.jpg,1,Hand,344,560,540,716
1279.jpg,1,Hand,697,552,883,718
1279.jpg,1,Hand,638,461,788,586
1279.jpg,1,Hand,319,411,498,590
1294.jpg,1,Hand,445,623,642,718
1294.jpg,1,Hand,650,659,843,718
1294.jpg,1,Hand,716,409,857,573
1294.jpg,1,Hand,313,408,447,563
1317.jpg,1,Hand,404,631,609,718
1317.jpg,1,Hand,629,654,804,718
1317.jpg,1,Hand,604,452,790,606
1317.jpg,1,Hand,445,429,580,560
1338.jpg,1,Hand,501,561,674,718
1338.jpg,1,Hand,711,640,771,714
1338.jpg,1,Hand,642,432,833,581
1338.jpg,1,Hand,502,386,637,552
1340.jpg,1,Hand,488,557,667,717
1340.jpg,1,Hand,693,652,740,718
